,站點,城市,aqi,狀態,pm25
113,小港,高雄市,33,良好,10.1
114,前鎮,高雄市,30,良好,9.2
115,前金,高雄市,30,良好,9.2
116,左營,高雄市,46,良好,14.2
117,楠梓,高雄市,38,良好,11.8
118,林園,高雄市,38,良好,11.7
119,大寮,高雄市,44,良好,13.4
120,鳳山,高雄市,23,良好,5.6
121,仁武,高雄市,38,良好,11.6
122,橋頭,高雄市,36,良好,11.0
123,美濃,高雄市,23,良好,7.2
124,臺南,臺南市,41,良好,12.6
125,安南,臺南市,31,良好,9.5
126,善化,臺南市,27,良好,8.3
127,新營,臺南市,33,良好,10.3
128,嘉義,嘉義市,24,良好,7.5
129,臺西,雲林縣,30,良好,9.3
130,朴子,嘉義縣,31,良好,9.7
131,新港,嘉義縣,43,良好,13.1
132,崙背,雲林縣,39,良好,11.9
133,斗六,雲林縣,23,良好,7.1
134,南投,南投縣,18,良好,5.6
135,二林,彰化縣,41,良好,12.5
136,線西,彰化縣,21,良好,6.4
137,彰化,彰化縣,14,良好,1.9
138,西屯,臺中市,23,良好,7.0
139,忠明,臺中市,15,良好,4.5
140,大里,臺中市,14,良好,4.2
141,沙鹿,臺中市,21,良好,6.4
142,豐原,臺中市,11,良好,2.1
143,三義,苗栗縣,10,良好,2.4
144,苗栗,苗栗縣,10,良好,3.2
145,頭份,苗栗縣,20,良好,6.3
146,新竹,新竹市,16,良好,4.9
147,竹東,新竹縣,19,良好,5.7
148,湖口,新竹縣,25,良好,7.7
149,龍潭,桃園市,19,良好,5.0
150,平鎮,桃園市,19,良好,5.7
151,觀音,桃園市,32,良好,9.8
152,大園,桃園市,21,良好,6.6
153,桃園,桃園市,31,良好,9.7
154,大同,臺北市,42,良好,12.9
155,松山,臺北市,18,良好,4.1
156,古亭,臺北市,26,良好,8.0
157,萬華,臺北市,24,良好,7.5
158,中山,臺北市,31,良好,9.4
159,士林,臺北市,27,良好,8.4
160,淡水,新北市,23,良好,7.2
161,林口,新北市,25,良好,7.8
162,菜寮,新北市,23,良好,7.0
163,新莊,新北市,32,良好,10.0
164,板橋,新北市,27,良好,8.2
165,土城,新北市,37,良好,11.5
166,新店,新北市,33,良好,10.2
167,萬里,新北市,10,良好,2.5
168,汐止,新北市,27,良好,8.2
169,基隆,基隆市,16,良好,4.7
170,屏東(枋山),屏東縣,15,良好,
171,大甲（日南國小）,臺中市,10,良好,2.1
172,新北(樹林),新北市,31,良好,9.5
173,屏東（琉球）,屏東縣,28,良好,8.5
174,臺南（麻豆）,臺南市,30,良好,9.1
175,高雄（湖內）,高雄市,27,良好,8.4
176,彰化（員林）,彰化縣,24,良好,7.4
177,大城,彰化縣,23,良好,6.2
178,富貴角,新北市,14,良好,4.2
179,麥寮,雲林縣,20,良好,5.4
180,關山,臺東縣,14,良好,1.7
181,馬公,澎湖縣,24,良好,3.3
182,金門,金門縣,19,良好,6.0
183,馬祖,連江縣,40,良好,12.4
184,埔里,南投縣,33,良好,10.1
185,復興,高雄市,29,良好,9.0
186,永和,新北市,33,良好,10.1
187,竹山,南投縣,25,良好,7.7
188,中壢,桃園市,33,良好,9.9
189,三重,新北市,27,良好,8.4
190,冬山,宜蘭縣,23,良好,6.9
191,宜蘭,宜蘭縣,16,良好,4.1
192,陽明,臺北市,9,良好,1.2
193,花蓮,花蓮縣,11,良好,2.4
194,臺東,臺東縣,6,良好,0.1
195,恆春,屏東縣,12,良好,3.7
196,潮州,屏東縣,29,良好,8.9
197,屏東,屏東縣,31,良好,9.6
198,小港,高雄市,31,良好,9.5
199,前鎮,高雄市,29,良好,9.0
200,前金,高雄市,28,良好,8.6
201,左營,高雄市,43,良好,13.1
202,楠梓,高雄市,34,良好,10.5
203,林園,高雄市,38,良好,11.6
204,大寮,高雄市,42,良好,12.9
205,鳳山,高雄市,22,良好,5.1
206,仁武,高雄市,37,良好,11.4
207,橋頭,高雄市,36,良好,11.0
208,美濃,高雄市,26,良好,8.0
209,臺南,臺南市,39,良好,11.9
210,安南,臺南市,31,良好,9.5
211,善化,臺南市,24,良好,7.4
212,新營,臺南市,34,良好,10.4
213,嘉義,嘉義市,24,良好,7.4
214,臺西,雲林縣,31,良好,9.5
215,朴子,嘉義縣,32,良好,10.0
216,新港,嘉義縣,43,良好,13.2
217,崙背,雲林縣,37,良好,11.4
218,斗六,雲林縣,24,良好,6.7
219,南投,南投縣,18,良好,5.3
220,二林,彰化縣,43,良好,13.3
221,線西,彰化縣,26,良好,5.7
222,彰化,彰化縣,15,良好,1.7
223,西屯,臺中市,23,良好,7.0
224,忠明,臺中市,14,良好,4.4
225,大里,臺中市,12,良好,3.6
226,沙鹿,臺中市,23,良好,6.6
227,豐原,臺中市,11,良好,1.6
228,三義,苗栗縣,11,良好,2.5
229,苗栗,苗栗縣,10,良好,2.6
230,頭份,苗栗縣,22,良好,6.9
231,新竹,新竹市,15,良好,4.7
232,竹東,新竹縣,19,良好,5.7
233,湖口,新竹縣,26,良好,8.0
234,龍潭,桃園市,20,良好,5.9
235,平鎮,桃園市,19,良好,5.7
236,觀音,桃園市,34,良好,10.4
237,大園,桃園市,22,良好,6.8
238,桃園,桃園市,35,良好,10.8
239,大同,臺北市,39,良好,12.1
240,松山,臺北市,17,良好,5.0
241,古亭,臺北市,25,良好,7.6
242,萬華,臺北市,26,良好,8.0
243,中山,臺北市,31,良好,9.6
244,士林,臺北市,25,良好,7.7
245,淡水,新北市,21,良好,6.6
246,林口,新北市,27,良好,8.4
247,菜寮,新北市,24,良好,7.4
248,新莊,新北市,37,良好,11.3
249,板橋,新北市,30,良好,9.2
250,土城,新北市,36,良好,11.0
251,新店,新北市,37,良好,11.5
252,萬里,新北市,10,良好,3.0
253,汐止,新北市,29,良好,8.8
254,基隆,基隆市,18,良好,5.5
255,屏東(枋山),屏東縣,14,良好,
256,大甲（日南國小）,臺中市,10,良好,2.0
257,新北(樹林),新北市,31,良好,9.4
258,屏東（琉球）,屏東縣,28,良好,8.5
259,臺南（麻豆）,臺南市,27,良好,8.2
260,高雄（湖內）,高雄市,25,良好,7.7
261,彰化（員林）,彰化縣,23,良好,7.0
262,大城,彰化縣,21,良好,5.2
263,富貴角,新北市,16,良好,5.0
264,麥寮,雲林縣,20,良好,4.4
265,關山,臺東縣,13,良好,1.8
266,馬公,澎湖縣,26,良好,2.8
267,金門,金門縣,19,良好,5.7
268,馬祖,連江縣,33,良好,10.3
269,埔里,南投縣,32,良好,9.8
270,復興,高雄市,27,良好,8.2
271,永和,新北市,32,良好,9.9
272,竹山,南投縣,24,良好,7.4
273,中壢,桃園市,33,良好,10.2
274,三重,新北市,29,良好,9.0
275,冬山,宜蘭縣,23,良好,7.2
276,宜蘭,宜蘭縣,16,良好,3.6
277,陽明,臺北市,11,良好,1.7
278,花蓮,花蓮縣,11,良好,2.7
279,臺東,臺東縣,7,良好,0.1
280,恆春,屏東縣,12,良好,3.7
281,潮州,屏東縣,28,良好,8.5
282,屏東,屏東縣,31,良好,9.4
283,小港,高雄市,27,良好,8.2
284,前鎮,高雄市,30,良好,9.3
285,前金,高雄市,28,良好,8.6
286,左營,高雄市,43,良好,13.1
287,楠梓,高雄市,32,良好,10.0
288,林園,高雄市,35,良好,10.8
289,大寮,高雄市,41,良好,12.7
290,鳳山,高雄市,21,良好,4.4
291,仁武,高雄市,35,良好,10.8
292,橋頭,高雄市,36,良好,11.0
293,美濃,高雄市,27,良好,8.3
294,臺南,臺南市,31,良好,9.5
295,安南,臺南市,32,良好,10.0
296,善化,臺南市,23,良好,7.0
297,新營,臺南市,31,良好,9.7
298,嘉義,嘉義市,25,良好,7.6
299,臺西,雲林縣,32,良好,9.8
300,朴子,嘉義縣,31,良好,9.6
301,新港,嘉義縣,43,良好,13.2
302,崙背,雲林縣,34,良好,10.4
303,斗六,雲林縣,24,良好,6.2
304,南投,南投縣,18,良好,5.5
305,二林,彰化縣,45,良好,13.8
306,線西,彰化縣,16,良好,4.9
307,彰化,彰化縣,14,良好,2.3
308,西屯,臺中市,21,良好,6.6
309,忠明,臺中市,14,良好,4.3
310,大里,臺中市,11,良好,3.3
311,沙鹿,臺中市,20,良好,6.2
312,豐原,臺中市,11,良好,1.5
313,三義,苗栗縣,12,良好,2.7
314,苗栗,苗栗縣,10,良好,3.0
315,頭份,苗栗縣,23,良好,7.2
316,新竹,新竹市,17,良好,5.3
317,竹東,新竹縣,19,良好,6.0
318,湖口,新竹縣,29,良好,8.9
319,龍潭,桃園市,20,良好,6.0
320,平鎮,桃園市,20,良好,6.2
321,觀音,桃園市,35,良好,10.7
322,大園,桃園市,23,良好,7.0
323,桃園,桃園市,36,良好,11.2
324,大同,臺北市,41,良好,12.5
325,松山,臺北市,19,良好,5.7
326,古亭,臺北市,22,良好,6.9
327,萬華,臺北市,25,良好,7.8
328,中山,臺北市,32,良好,9.9
329,士林,臺北市,26,良好,8.0
330,淡水,新北市,20,良好,6.2
331,林口,新北市,27,良好,8.4
332,菜寮,新北市,27,良好,8.2
333,新莊,新北市,40,良好,12.2
334,板橋,新北市,34,良好,10.6
335,土城,新北市,35,良好,10.7
336,新店,新北市,37,良好,11.5
337,萬里,新北市,12,良好,3.3
338,汐止,新北市,28,良好,8.7
339,基隆,基隆市,17,良好,5.2
340,屏東(枋山),屏東縣,14,良好,
341,大甲（日南國小）,臺中市,12,良好,1.6
342,新北(樹林),新北市,32,良好,10.0
343,屏東（琉球）,屏東縣,24,良好,7.3
344,臺南（麻豆）,臺南市,28,良好,8.7
345,高雄（湖內）,高雄市,27,良好,8.2
346,彰化（員林）,彰化縣,23,良好,7.1
347,大城,彰化縣,18,良好,4.4
348,富貴角,新北市,17,良好,5.3
349,麥寮,雲林縣,19,良好,3.8
350,關山,臺東縣,15,良好,2.0
351,馬公,澎湖縣,27,良好,2.8
352,金門,金門縣,20,良好,4.8
353,馬祖,連江縣,27,良好,8.4
354,埔里,南投縣,32,良好,10.0
355,復興,高雄市,25,良好,7.8
356,永和,新北市,33,良好,10.2
357,竹山,南投縣,24,良好,7.3
358,中壢,桃園市,35,良好,10.7
359,三重,新北市,31,良好,9.7
360,冬山,宜蘭縣,23,良好,7.1
361,宜蘭,宜蘭縣,16,良好,3.2
362,陽明,臺北市,11,良好,2.2
363,花蓮,花蓮縣,11,良好,2.6
364,臺東,臺東縣,7,良好,0.2
365,恆春,屏東縣,11,良好,3.4
366,潮州,屏東縣,28,良好,8.7
367,屏東,屏東縣,30,良好,9.1
368,小港,高雄市,24,良好,7.3
369,前鎮,高雄市,28,良好,8.6
370,前金,高雄市,28,良好,8.5
371,左營,高雄市,42,良好,12.8
372,楠梓,高雄市,30,良好,9.3
373,林園,高雄市,31,良好,9.5
374,大寮,高雄市,36,良好,11.2
375,鳳山,高雄市,20,良好,3.7
376,仁武,高雄市,35,良好,10.8
377,橋頭,高雄市,35,良好,10.9
378,美濃,高雄市,28,良好,8.6
379,臺南,臺南市,29,良好,9.0
380,安南,臺南市,32,良好,10.0
381,善化,臺南市,24,良好,7.5
382,新營,臺南市,31,良好,9.6
383,嘉義,嘉義市,25,良好,7.7
384,臺西,雲林縣,26,良好,7.9
385,朴子,嘉義縣,34,良好,10.5
386,新港,嘉義縣,41,良好,12.5
387,崙背,雲林縣,31,良好,9.5
388,斗六,雲林縣,24,良好,6.1
389,南投,南投縣,18,良好,5.2
390,二林,彰化縣,47,良好,14.5
391,線西,彰化縣,14,良好,4.1
392,彰化,彰化縣,15,良好,2.4
393,西屯,臺中市,20,良好,6.1
394,忠明,臺中市,15,良好,4.7
395,大里,臺中市,13,良好,3.9
396,沙鹿,臺中市,22,良好,5.6
397,豐原,臺中市,12,良好,2.1
398,三義,苗栗縣,11,良好,2.5
399,苗栗,苗栗縣,10,良好,3.0
400,頭份,苗栗縣,22,良好,6.9
401,新竹,新竹市,20,良好,6.3
402,竹東,新竹縣,22,良好,6.7
403,湖口,新竹縣,30,良好,9.2
404,龍潭,桃園市,20,良好,6.1
405,平鎮,桃園市,23,良好,7.0
406,觀音,桃園市,35,良好,10.7
407,大園,桃園市,25,良好,7.4
408,桃園,桃園市,38,良好,11.7
409,大同,臺北市,39,良好,11.9
410,松山,臺北市,20,良好,6.3
411,古亭,臺北市,23,良好,7.0
412,萬華,臺北市,26,良好,8.0
413,中山,臺北市,33,良好,10.1
414,士林,臺北市,27,良好,8.3
415,淡水,新北市,19,良好,6.0
416,林口,新北市,27,良好,8.2
417,菜寮,新北市,30,良好,9.1
418,新莊,新北市,40,良好,12.2
419,板橋,新北市,36,良好,11.2
420,土城,新北市,34,良好,10.5
421,新店,新北市,39,良好,12.1
422,萬里,新北市,13,良好,3.9
423,汐止,新北市,30,良好,9.1
424,基隆,基隆市,16,良好,4.2
425,屏東(枋山),屏東縣,14,良好,
426,大甲（日南國小）,臺中市,13,良好,1.6
427,新北(樹林),新北市,36,良好,11.0
428,屏東（琉球）,屏東縣,24,良好,7.3
429,臺南（麻豆）,臺南市,29,良好,9.0
430,高雄（湖內）,高雄市,27,良好,8.4
431,彰化（員林）,彰化縣,23,良好,7.0
432,大城,彰化縣,21,良好,3.5
433,富貴角,新北市,18,良好,5.4
434,麥寮,雲林縣,17,良好,3.7
435,關山,臺東縣,15,良好,2.5
436,馬公,澎湖縣,28,良好,2.6
437,金門,金門縣,23,良好,4.3
438,馬祖,連江縣,28,良好,7.6
439,埔里,南投縣,36,良好,11.0
440,復興,高雄市,27,良好,8.2
441,永和,新北市,35,良好,10.7
442,竹山,南投縣,24,良好,7.5
443,中壢,桃園市,34,良好,10.4
444,三重,新北市,32,良好,10.0
445,冬山,宜蘭縣,23,良好,7.2
446,宜蘭,宜蘭縣,14,良好,2.3
447,陽明,臺北市,11,良好,2.4
448,花蓮,花蓮縣,11,良好,2.1
449,臺東,臺東縣,6,良好,0.2
450,恆春,屏東縣,9,良好,2.9
451,潮州,屏東縣,29,良好,8.9
452,屏東,屏東縣,31,良好,9.4
453,小港,高雄市,26,良好,7.9
454,前鎮,高雄市,27,良好,8.2
455,前金,高雄市,29,良好,9.0
456,左營,高雄市,41,良好,12.7
457,楠梓,高雄市,29,良好,9.0
458,林園,高雄市,28,良好,8.7
459,大寮,高雄市,34,良好,10.6
460,鳳山,高雄市,20,良好,3.5
461,仁武,高雄市,35,良好,10.8
462,橋頭,高雄市,33,良好,10.3
463,美濃,高雄市,28,良好,8.7
464,臺南,臺南市,29,良好,9.0
465,安南,臺南市,34,良好,10.6
466,善化,臺南市,28,良好,8.6
467,新營,臺南市,30,良好,9.1
468,嘉義,嘉義市,24,良好,7.5
469,臺西,雲林縣,23,良好,7.2
470,朴子,嘉義縣,33,良好,10.3
471,新港,嘉義縣,40,良好,12.2
472,崙背,雲林縣,31,良好,9.5
473,斗六,雲林縣,24,良好,6.3
474,南投,南投縣,17,良好,5.3
475,二林,彰化縣,45,良好,14.0
476,線西,彰化縣,13,良好,3.9
477,彰化,彰化縣,14,良好,2.1
478,西屯,臺中市,19,良好,6.0
479,忠明,臺中市,16,良好,5.0
480,大里,臺中市,13,良好,4.1
481,沙鹿,臺中市,22,良好,5.7
482,豐原,臺中市,12,良好,2.6
483,三義,苗栗縣,10,良好,2.7
484,苗栗,苗栗縣,9,良好,2.7
485,頭份,苗栗縣,21,良好,6.5
486,新竹,新竹市,22,良好,6.9
487,竹東,新竹縣,22,良好,6.8
488,湖口,新竹縣,31,良好,9.7
489,龍潭,桃園市,21,良好,6.6
490,平鎮,桃園市,24,良好,7.5
491,觀音,桃園市,36,良好,11.1
492,大園,桃園市,25,良好,7.2
493,桃園,桃園市,41,良好,12.7
494,大同,臺北市,41,良好,12.7
495,松山,臺北市,20,良好,6.2
496,古亭,臺北市,24,良好,7.5
497,萬華,臺北市,28,良好,8.5
498,中山,臺北市,34,良好,10.5
499,士林,臺北市,26,良好,8.0
500,淡水,新北市,18,良好,5.6
501,林口,新北市,27,良好,8.3
502,菜寮,新北市,31,良好,9.7
503,新莊,新北市,40,良好,12.2
504,板橋,新北市,37,良好,11.5
505,土城,新北市,34,良好,10.4
506,新店,新北市,42,良好,12.9
507,萬里,新北市,14,良好,4.3
508,汐止,新北市,30,良好,9.1
509,基隆,基隆市,15,良好,3.6
510,屏東(枋山),屏東縣,15,良好,
511,大甲（日南國小）,臺中市,13,良好,1.7
512,新北(樹林),新北市,36,良好,11.2
513,屏東（琉球）,屏東縣,23,良好,7.2
514,臺南（麻豆）,臺南市,29,良好,8.8
515,高雄（湖內）,高雄市,27,良好,8.2
516,彰化（員林）,彰化縣,23,良好,7.2
517,大城,彰化縣,25,良好,3.0
518,富貴角,新北市,16,良好,4.9
519,麥寮,雲林縣,17,良好,3.3
520,關山,臺東縣,17,良好,2.7
521,馬公,澎湖縣,29,良好,4.7
522,金門,金門縣,23,良好,4.1
523,馬祖,連江縣,31,良好,6.4
524,埔里,南投縣,36,良好,11.0
525,復興,高雄市,26,良好,8.0
526,永和,新北市,34,良好,10.6
527,竹山,南投縣,25,良好,7.6
528,中壢,桃園市,36,良好,11.0
529,三重,新北市,32,良好,10.0
530,冬山,宜蘭縣,22,良好,6.7
531,宜蘭,宜蘭縣,14,良好,1.9
532,陽明,臺北市,11,良好,2.2
533,花蓮,花蓮縣,12,良好,2.0
534,臺東,臺東縣,6,良好,0.3
535,恆春,屏東縣,9,良好,2.7
536,潮州,屏東縣,29,良好,9.0
537,屏東,屏東縣,27,良好,8.2
538,小港,高雄市,27,良好,8.4
539,前鎮,高雄市,26,良好,8.1
540,前金,高雄市,31,良好,9.4
541,左營,高雄市,40,良好,12.3
542,楠梓,高雄市,27,良好,8.2
543,林園,高雄市,28,良好,8.5
544,大寮,高雄市,30,良好,9.3
545,鳳山,高雄市,21,良好,3.7
546,仁武,高雄市,32,良好,10.0
547,橋頭,高雄市,34,良好,10.6
548,美濃,高雄市,26,良好,7.9
549,臺南,臺南市,29,良好,8.9
550,安南,臺南市,36,良好,11.1
551,善化,臺南市,34,良好,10.5
552,新營,臺南市,28,良好,8.5
553,嘉義,嘉義市,24,良好,7.3
554,臺西,雲林縣,24,良好,7.3
555,朴子,嘉義縣,31,良好,9.4
556,新港,嘉義縣,39,良好,12.1
557,崙背,雲林縣,34,良好,10.5
558,斗六,雲林縣,24,良好,7.2
559,南投,南投縣,19,良好,5.8
560,二林,彰化縣,42,良好,12.8
561,線西,彰化縣,17,良好,2.8
562,彰化,彰化縣,14,良好,2.1
563,西屯,臺中市,20,良好,6.1
564,忠明,臺中市,17,良好,5.2
565,大里,臺中市,14,良好,4.2
566,沙鹿,臺中市,20,良好,6.1
567,豐原,臺中市,13,良好,3.0
568,三義,苗栗縣,15,良好,3.4
569,苗栗,苗栗縣,11,良好,3.3
570,頭份,苗栗縣,21,良好,6.4
571,新竹,新竹市,28,良好,8.7
572,竹東,新竹縣,23,良好,7.1
573,湖口,新竹縣,33,良好,10.1
574,龍潭,桃園市,23,良好,7.2
575,平鎮,桃園市,26,良好,8.0
576,觀音,桃園市,37,良好,11.4
577,大園,桃園市,25,良好,7.7
578,桃園,桃園市,44,良好,13.4
579,大同,臺北市,44,良好,13.4
580,松山,臺北市,19,良好,6.0
581,古亭,臺北市,27,良好,8.3
582,萬華,臺北市,23,良好,7.1
583,中山,臺北市,32,良好,10.0
584,士林,臺北市,32,良好,9.8
585,淡水,新北市,18,良好,5.4
586,林口,新北市,28,良好,8.5
587,菜寮,新北市,31,良好,9.7
588,新莊,新北市,41,良好,12.5
589,板橋,新北市,39,良好,12.0
590,土城,新北市,37,良好,11.3
591,新店,新北市,42,良好,12.8
592,萬里,新北市,16,良好,4.8
593,汐止,新北市,29,良好,9.0
594,基隆,基隆市,14,良好,3.2
595,屏東(枋山),屏東縣,15,良好,
596,大甲（日南國小）,臺中市,12,良好,1.9
597,新北(樹林),新北市,38,良好,11.6
598,屏東（琉球）,屏東縣,23,良好,7.0
599,臺南（麻豆）,臺南市,27,良好,8.4
600,高雄（湖內）,高雄市,28,良好,8.6
601,彰化（員林）,彰化縣,23,良好,7.2
602,大城,彰化縣,28,良好,1.9
603,富貴角,新北市,16,良好,4.9
604,麥寮,雲林縣,19,良好,3.7
605,關山,臺東縣,18,良好,3.3
606,馬公,澎湖縣,30,良好,5.4
607,金門,金門縣,25,良好,4.1
608,馬祖,連江縣,33,良好,6.2
609,埔里,南投縣,33,良好,10.2
610,復興,高雄市,26,良好,8.0
611,永和,新北市,37,良好,11.3
612,竹山,南投縣,25,良好,7.7
613,中壢,桃園市,37,良好,11.3
614,三重,新北市,30,良好,9.3
615,冬山,宜蘭縣,20,良好,6.0
616,宜蘭,宜蘭縣,13,良好,1.7
617,陽明,臺北市,11,良好,2.5
618,花蓮,花蓮縣,12,良好,2.7
619,臺東,臺東縣,6,良好,0.5
620,恆春,屏東縣,11,良好,3.3
621,潮州,屏東縣,31,良好,9.6
622,屏東,屏東縣,26,良好,7.9
623,小港,高雄市,32,良好,9.0
624,前鎮,高雄市,24,良好,7.5
625,前金,高雄市,31,良好,9.7
626,左營,高雄市,41,良好,12.7
627,楠梓,高雄市,24,良好,7.0
628,林園,高雄市,25,良好,7.7
629,大寮,高雄市,30,良好,9.2
630,鳳山,高雄市,23,良好,3.3
631,仁武,高雄市,30,良好,9.2
632,橋頭,高雄市,34,良好,10.5
633,美濃,高雄市,25,良好,7.7
634,臺南,臺南市,31,良好,9.6
635,安南,臺南市,35,良好,10.7
636,善化,臺南市,39,良好,12.1
637,新營,臺南市,26,良好,8.1
638,嘉義,嘉義市,25,良好,7.8
639,臺西,雲林縣,19,良好,5.9
640,朴子,嘉義縣,27,良好,8.2
641,新港,嘉義縣,38,良好,11.7
642,崙背,雲林縣,35,良好,10.7
643,斗六,雲林縣,25,良好,7.8
644,南投,南投縣,20,良好,6.1
645,二林,彰化縣,37,良好,11.3
646,線西,彰化縣,15,良好,1.7
647,彰化,彰化縣,15,良好,2.0
648,西屯,臺中市,19,良好,5.7
649,忠明,臺中市,16,良好,4.8
650,大里,臺中市,13,良好,3.9
651,沙鹿,臺中市,19,良好,6.0
652,豐原,臺中市,13,良好,3.5
653,三義,苗栗縣,12,良好,3.7
654,苗栗,苗栗縣,13,良好,4.1
655,頭份,苗栗縣,22,良好,6.7
656,新竹,新竹市,29,良好,8.8
657,竹東,新竹縣,23,良好,7.1
658,湖口,新竹縣,31,良好,9.6
659,龍潭,桃園市,27,良好,8.2
660,平鎮,桃園市,28,良好,8.6
661,觀音,桃園市,35,良好,10.8
662,大園,桃園市,35,良好,7.3
663,桃園,桃園市,40,良好,12.2
664,大同,臺北市,47,良好,14.5
665,松山,臺北市,21,良好,6.5
666,古亭,臺北市,28,良好,8.5
667,萬華,臺北市,24,良好,7.4
668,中山,臺北市,33,良好,10.2
669,士林,臺北市,33,良好,10.1
670,淡水,新北市,19,良好,5.7
671,林口,新北市,27,良好,8.3
672,菜寮,新北市,31,良好,9.4
673,新莊,新北市,39,良好,11.9
674,板橋,新北市,38,良好,11.7
675,土城,新北市,38,良好,11.7
676,新店,新北市,41,良好,12.5
677,萬里,新北市,17,良好,5.3
678,汐止,新北市,27,良好,8.3
